meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1218,9157,27,2,2023-09-03T13:24:55.738000+00:00,28.659,30.195,29.066,313.0,312.0,False,87.92,"[2049, 2049, 2049, 2049, 2048, 2048, 2048, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]",311.0
1218,9157,14,2,2023-09-03T13:24:56.378000+00:00,28.525,30.38,29.107,311.0,311.0,False,88.012,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2048, 2049, 2048, 2048, 2049]",316.0
1218,9157,40,2,2023-09-03T13:24:56.972000+00:00,28.272,30.618,29.128,315.0,316.0,False,88.018,"[2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2048, 2049]","[2049, 2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049]",330.0
1218,9157,2,2,2023-09-03T13:24:57.409000+00:00,28.252,30.443,29.385,316.0,319.0,False,88.08,"[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2051, 2051, 2048, 2048, 2049, 2048]",327.0
1218,9157,77,2,2023-09-03T13:24:57.894000+00:00,28.453,30.353,29.226,313.0,314.0,False,88.032,"[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",320.0
1218,9157,24,2,2023-09-03T13:24:58.222000+00:00,28.482,30.515,29.17,313.0,314.0,False,88.167,"[2051, 2051, 2049, 2049, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2048, 2051]",327.0
1218,9157,31,2,2023-09-03T13:24:58.691000+00:00,28.747,30.479,29.441,307.0,307.0,False,88.667,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2048, 2048, 2048]",315.0
1218,9157,10,2,2023-09-03T13:24:59.003000+00:00,28.782,30.575,29.339,310.0,309.0,False,88.696,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2048, 2048, 2049, 2049, 2048, 2048]",320.0
1218,9157,20,2,2023-09-03T13:24:59.503000+00:00,28.604,30.826,29.493,315.0,313.0,False,88.923,"[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2049, 2049, 2048, 2048, 2049, 2049, 2049, 2049, 2048, 2049]",315.0
1218,9157,18,2,2023-09-03T13:24:59.847000+00:00,28.81,30.757,29.386,313.0,314.0,False,88.953,"[2049, 2049, 2049, 2049, 2049, 2048, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",305.0
1218,9157,55,3,2023-09-03T13:26:16.143000+00:00,28.262,29.365,28.349,,302.0,False,85.976,"[None, 2049, 2049, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2049]",306.0
1218,9157,1,3,2023-09-03T13:26:17.158000+00:00,28.097,29.32,28.285,310.0,320.0,False,85.702,"[None, 2048, 2049, 2049, 2048, 2049, 2049, 2048]","[2049, 2049, 2048, 2048, 2048, 2051, 2049]","[2049, 2048, 2051, 2049, 2048, 2049, 2049, 2048, 2049]",309.0
1218,9157,16,3,2023-09-03T13:26:18.143000+00:00,27.933,29.256,28.53,322.0,326.0,False,85.719,"[None, 2049, 2051, 2049, 2048, 2049, 2048, 2049]","[2051, 2049, 2049, 2048, 2048, 2049, 2049]","[2049, 2048, 2048, 2049, 2049, 2049, 2048, 2048, 2048]",315.0
1218,9157,63,3,2023-09-03T13:26:19.065000+00:00,28.187,29.427,28.562,318.0,313.0,False,86.176,"[None, 2048, 2048, 2049, 2048, 2048, 2048, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2049]",305.0
1218,9157,11,3,2023-09-03T13:26:19.705000+00:00,28.372,29.462,28.309,312.0,326.0,False,86.143,"[2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2048, 2048]",308.0
1218,9157,23,3,2023-09-03T13:26:20.877000+00:00,28.241,29.807,28.53,309.0,314.0,False,86.578,"[2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2049, 2048, 2049, 2048]","[2049, 2049, 2049, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",320.0
1218,9157,81,3,2023-09-03T13:26:21.440000+00:00,28.568,29.883,28.531,307.0,317.0,False,86.982,"[None, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2049, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048]",311.0
1218,9157,4,3,2023-09-03T13:26:22.174000+00:00,28.693,29.848,28.564,310.0,322.0,False,87.105,"[None, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2048, 2049, 2049]","[2049, 2049, 2049, 2048, 2048, 2048, 2049, 2048, 2049, 2049]",293.0
1218,9157,44,3,2023-09-03T13:26:22.955000+00:00,28.474,30.067,28.748,311.0,324.0,False,87.289,"[None, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048]",306.0
1218,9157,27,3,2023-09-03T13:26:23.721000+00:00,28.522,30.018,28.82,309.0,324.0,False,87.36,"[2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2049, 2049, 2049]","[2049, 2049, 2048, 2048, 2048, 2049, 2049, 2049, 2049, 2049]",309.0
1218,9157,14,3,2023-09-03T13:26:24.487000+00:00,28.514,30.136,28.896,,328.0,False,87.546,"[None, 2049, 2049, 2048, 2048, 2049, 2049, 2048]","[2049, 2049, 2049, 2048, 2049, 2049, 2049]","[2051, 2049, 2048, 2048, 2048, 2049, 2049, 2048, 2048]",312.0
1218,9157,40,3,2023-09-03T13:26:24.987000+00:00,28.456,30.165,29.036,314.0,330.0,False,87.657,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2049, 2048]",315.0
1218,9157,2,3,2023-09-03T13:26:25.580000+00:00,28.124,30.425,29.098,318.0,335.0,False,87.647,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2049, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2049]",326.0
1218,9157,77,3,2023-09-03T13:26:25.877000+00:00,28.475,30.099,29.376,312.0,334.0,False,87.95,"[None, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2049, 2048, 2049, 2051]","[2049, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]",318.0
1218,9157,24,3,2023-09-03T13:26:26.408000+00:00,,30.136,29.253,311.0,334.0,False,87.871,"[2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2051, 2051]",317.0
1218,9157,31,3,2023-09-03T13:26:27.361000+00:00,28.679,29.905,29.238,304.0,323.0,False,87.822,"[2048, 2048, 2049, 2049, 2049, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]",313.0
1218,9157,10,3,2023-09-03T13:26:27.721000+00:00,28.714,30.06,29.142,,326.0,False,87.916,"[None, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2048, 2049, 2048, 2048, 2048, 2048]",
1218,9157,20,3,2023-09-03T13:26:28.455000+00:00,28.77,30.58,29.188,309.0,315.0,False,88.538,"[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2049, 2049, 2049, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2049, 2049, 2049]",312.0
1218,9157,18,3,2023-09-03T13:26:28.815000+00:00,28.49,30.911,29.213,330.0,329.0,False,88.614,"[None, 2048, 2048, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2048, 2049, 2049, 2049]","[2049, 2049, 2048, 2048, 2048, 2049, 2049, 2048, 2049, 2049]",298.0
1218,9157,55,4,2023-09-03T13:27:42.173000+00:00,28.388,29.335,28.344,305.0,304.0,False,86.067,"[None, 2049, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2051, 2048, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2049, 2049]",308.0
1218,9157,1,4,2023-09-03T13:27:42.736000+00:00,28.145,29.474,28.431,311.0,320.0,False,86.05,"[None, 2049, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2049]",318.0
1218,9157,16,4,2023-09-03T13:27:43.861000+00:00,28.073,29.438,28.514,309.0,323.0,False,86.025,"[None, 2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2049]",316.0
1218,9157,63,4,2023-09-03T13:27:45.251000+00:00,28.205,29.617,28.356,310.0,314.0,False,86.178,"[None, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]",312.0
1218,9157,11,4,2023-09-03T13:27:45.876000+00:00,28.308,29.522,28.189,313.0,335.0,False,86.019,"[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2051, 2048, 2049, 2049, 2049, 2051, 2048, 2048, 2049, 2049]",
